src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.18.0.2,172.18.0.3,36778,22,6,2026-06-04 01:37:56,1154130.0,2102.8826908580486,16.462616862918388,8.664535191009678,7.79808167190871,10,9,722,1705,89,66,72.2,8.953211714239757,1106,54,189.44444444444446,324.3938316686853,1106,54,127.73684210526316,230.9018570519252,53315.6675900277,200,180,20,2,64118.333333333336,1146206.0,1.0,262447.52357863006,1154125.0,1146206.0,7.0,128236.11111111111,359910.12164657767,1154120.0,1146362.0,4.0,144265.0,378760.5234703057,2,3,0,0,0,4,3,5,16,0,0,0.9,127.73684210526316,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2,189.44444444444446,0,10,9,722,1705
172.18.0.2,172.18.0.3,36782,22,6,2026-06-04 01:37:56,7721.0,230540.08548115529,1295.169019557052,777.1014117342313,518.0676078228208,6,4,427,1353,89,66,71.16666666666667,8.493461537493939,1106,66,338.25,443.52698621391687,1106,66,178.0,309.5961886070305,95849.8,120,80,20,1,857.8888888888889,4163.0,1.0,1557.1900936155232,7721.0,4200.0,13.0,1544.2,1842.7882569628014,7554.0,4163.0,24.0,2518.0,1793.2151757852894,1,2,0,0,0,2,1,3,9,0,0,0.6666666666666666,178.0,64240,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.16666666666667,338.25,0,6,4,427,1353
172.18.0.2,172.18.0.3,36798,22,6,2026-06-04 01:37:56,8376.0,212511.9388729704,1193.8872970391596,716.3323782234958,477.5549188156638,6,4,427,1353,89,66,71.16666666666667,8.493461537493939,1106,66,338.25,443.52698621391687,1106,66,178.0,309.5961886070305,95849.8,120,80,20,1,930.6666666666666,4868.0,1.0,1727.3470345526339,8376.0,4898.0,12.0,1675.2,2053.3636209887427,8228.0,4868.0,24.0,2742.6666666666665,2021.5699070002227,1,2,0,0,0,2,1,3,9,0,0,0.6666666666666666,178.0,64240,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.16666666666667,338.25,0,6,4,427,1353
172.18.0.2,172.18.0.3,36814,22,6,2026-06-04 01:37:56,1714833.0,1383.808219226012,10.496648944824365,5.831471636013536,4.665177308810828,10,8,722,1651,89,66,72.2,8.953211714239757,1106,66,206.375,340.3020487375884,1106,66,131.83333333333334,236.5561361612832,55958.805555555555,200,160,20,2,100872.5294117647,1703101.0,1.0,400561.6589007339,1714828.0,1703101.0,16.0,190536.44444444444,534777.9408809919,1714823.0,1703289.0,9.0,244974.7142857143,595360.1327947202,2,3,0,0,0,4,2,5,16,0,0,0.8,131.83333333333334,64240,509,0,0,0,0,1699106.0,7380.0,853243.0,845863.0,0,0,0,0,0,0,72.2,206.375,0,10,8,722,1651
172.18.0.2,172.18.0.3,36816,22,6,2026-06-04 01:37:56,12496.0,142445.58258642766,800.2560819462228,480.15364916773365,320.1024327784891,6,4,427,1353,89,66,71.16666666666667,8.493461537493939,1106,66,338.25,443.52698621391687,1106,66,178.0,309.5961886070305,95849.8,120,80,20,1,1388.4444444444443,8777.0,2.0,2828.444531741042,12496.0,8825.0,13.0,2499.2,3438.547739962323,12353.0,8777.0,23.0,4117.666666666667,3596.0409094200004,1,2,0,0,0,2,1,3,9,0,0,0.6666666666666666,178.0,64240,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.16666666666667,338.25,0,6,4,427,1353
172.18.0.2,172.18.0.3,36830,22,6,2026-06-04 01:37:56,1714579.0,1408.5090275805314,11.081437484070433,5.832335517931807,5.2491019661386265,10,9,722,1693,89,66,72.2,8.953211714239757,1106,54,188.11111111111111,324.92270685826,1106,54,127.10526315789474,231.08619825712384,53400.83102493075,200,180,20,2,95254.38888888889,1703169.0,1.0,389980.73446035467,1714576.0,1703169.0,15.0,190508.44444444444,534811.4884229169,1714571.0,1703349.0,3.0,214321.375,562804.8901255517,2,3,0,0,1,4,3,5,15,0,0,0.9,127.10526315789474,64240,0,0,0,0,0,1699063.0,7012.0,853037.5,846025.5,0,0,0,0,0,0,72.2,188.11111111111111,0,10,9,722,1693
172.18.0.2,172.18.0.3,36840,22,6,2026-06-04 01:37:56,586768.0,4044.1878221034553,30.67651951026641,17.042510839036893,13.634008671229516,10,8,722,1651,89,66,72.2,8.953211714239757,1106,66,206.375,340.3020487375884,1106,66,131.83333333333334,236.5561361612832,55958.805555555555,200,160,20,2,34515.76470588235,575347.0,2.0,135222.0183308696,586763.0,575347.0,11.0,65195.88888888889,180383.47857362378,586762.0,575558.0,11.0,83823.14285714286,200768.6760986588,2,3,0,0,0,4,2,5,16,0,0,0.8,131.83333333333334,64240,509,0,0,0,0,572272.0,7999.0,290135.5,282136.5,0,0,0,0,0,0,72.2,206.375,0,10,8,722,1651
172.18.0.2,172.18.0.3,36842,22,6,2026-06-04 01:37:56,13011.0,136807.3168857121,768.5804319422027,461.14825916532163,307.4321727768811,6,4,427,1353,89,66,71.16666666666667,8.493461537493939,1106,66,338.25,443.52698621391687,1106,66,178.0,309.5961886070305,95849.8,120,80,20,1,1445.6666666666667,8528.0,2.0,2825.753547482708,13011.0,8556.0,14.0,2602.2,3392.33184697488,12812.0,8528.0,25.0,4270.666666666667,3471.345016304519,1,2,0,0,0,2,1,3,9,0,0,0.6666666666666666,178.0,64240,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.16666666666667,338.25,0,6,4,427,1353
172.18.0.2,172.18.0.3,36848,22,6,2026-06-04 01:37:56,586864.0,4043.52626843698,30.671501404073172,17.039723002262875,13.6317784018103,10,8,722,1651,89,66,72.2,8.953211714239757,1106,66,206.375,340.3020487375884,1106,66,131.83333333333334,236.5561361612832,55958.805555555555,200,160,20,2,34521.41176470588,570776.0,3.0,134093.96148226407,586857.0,570776.0,16.0,65206.333333333336,178784.32177719983,586856.0,571052.0,4.0,83836.57142857143,198945.48028891673,2,3,0,0,0,4,2,5,16,0,0,0.8,131.83333333333334,64240,510,0,0,0,0,566977.0,11827.0,289402.0,277575.0,0,0,0,0,0,0,72.2,206.375,0,10,8,722,1651
172.18.0.2,172.18.0.3,36860,22,6,2026-06-04 01:37:56,15803.000000000002,112636.84110611909,632.7912421692083,379.674745301525,253.11649686768334,6,4,427,1353,89,66,71.16666666666667,8.493461537493939,1106,66,338.25,443.52698621391687,1106,66,178.0,309.5961886070305,95849.8,120,80,20,1,1755.888888888889,10683.0,2.0,3495.9334294591304,15803.0,10704.0,14.0,3160.6,4207.288656605344,15586.0,10683.0,28.0,5195.333333333333,4355.779022045183,1,2,0,0,0,2,1,3,9,0,0,0.6666666666666666,178.0,64240,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.16666666666667,338.25,0,6,4,427,1353
