src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.18.0.2,172.18.0.3,34710,80,6,2026-06-04 00:36:04,242.0,4371900.826446281,41322.31404958678,24793.388429752067,16528.92561983471,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,26.88888888888889,52.0,1.0,18.027413966539616,242.0,77.0,20.0,48.4,22.222511109233356,209.0,122.0,35.0,69.66666666666667,37.65043898224237,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,34716,80,6,2026-06-04 00:36:05,229.0,4620087.336244541,43668.12227074236,26200.873362445414,17467.248908296944,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,25.444444444444443,63.0,2.0,20.22710563746419,229.0,77.0,15.0,45.8,22.112439937736408,208.0,112.0,41.0,69.33333333333333,30.706495874470743,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,34730,80,6,2026-06-04 00:36:06,228.0,4640350.8771929825,43859.649122807015,26315.78947368421,17543.859649122805,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,25.333333333333332,64.0,2.0,20.336065390226192,228.0,77.0,14.0,45.6,22.94863830382971,208.0,116.0,38.0,69.33333333333333,33.6386021641143,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,34744,80,6,2026-06-04 00:36:08,258.0,4100775.19379845,38759.689922480626,23255.813953488374,15503.87596899225,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,28.666666666666668,62.0,2.0,20.82199691565522,258.0,79.0,20.0,51.6,23.311799587333446,233.0,130.0,46.0,77.66666666666667,37.276742823851386,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,38442,80,6,2026-06-04 00:36:09,371.0,2851752.0215633423,26954.17789757412,16172.506738544473,10781.671159029649,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,41.22222222222222,119.0,10.0,35.00723029374797,371.0,119.0,25.0,74.2,32.553955212846255,347.0,182.0,46.0,115.66666666666667,55.57177541002467,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,38458,80,6,2026-06-04 00:36:10,353.0,2997167.1388101983,28328.611898016996,16997.167138810197,11331.444759206799,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,39.22222222222222,78.0,4.0,27.63563632453084,353.0,124.0,23.0,70.6,32.5613267542955,329.0,175.0,76.0,109.66666666666667,46.2048578494609,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,38466,80,6,2026-06-04 00:36:11,303.0,3491749.1749174916,33003.300330033,19801.980198019803,13201.320132013201,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,33.666666666666664,100.0,1.0,30.055504210266268,303.0,155.0,18.0,60.6,49.20406487273181,281.0,143.0,38.0,93.66666666666667,43.099368389287974,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,38480,80,6,2026-06-04 00:36:12,231.0,4580086.58008658,43290.043290043286,25974.025974025975,17316.017316017314,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,25.666666666666668,61.0,2.0,20.60204952048326,231.0,76.0,15.0,46.2,22.28362627581068,211.0,116.0,38.0,70.33333333333333,33.209770985191824,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,38482,80,6,2026-06-04 00:36:13,281.0,3765124.5551601425,35587.18861209964,21352.313167259785,14234.875444839858,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,31.22222222222222,68.0,2.0,20.45470756887996,281.0,83.0,25.0,56.2,20.836506425022407,252.0,146.0,50.0,84.0,43.9089968002003,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,38490,80,6,2026-06-04 00:36:14,186.0,5688172.043010753,53763.44086021506,32258.064516129034,21505.376344086024,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,20.666666666666668,53.0,2.0,17.480147469502523,186.0,73.0,13.0,37.2,21.141428523162762,173.0,84.0,36.0,57.666666666666664,19.871811414385174,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,38506,80,6,2026-06-04 00:36:15,322.0,3285714.2857142854,31055.90062111801,18633.540372670806,12422.360248447205,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,35.77777777777778,90.0,1.0,31.77622373822491,322.0,134.0,16.0,64.4,42.4009433857314,302.0,172.0,40.0,100.66666666666667,54.41405047309829,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,38514,80,6,2026-06-04 00:36:16,349.0,3031518.6246418334,28653.295128939826,17191.977077363896,11461.31805157593,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,38.77777777777778,90.0,7.0,30.073161817946495,349.0,114.0,26.0,69.8,33.180717291824784,321.0,159.0,58.0,107.0,41.28760911782937,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,38524,80,6,2026-06-04 00:36:17,270.0,3918518.5185185187,37037.03703703704,22222.222222222223,14814.814814814814,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,30.0,72.0,7.0,24.023136995636335,270.0,72.0,15.0,54.0,22.081666603768838,250.0,122.0,44.0,83.33333333333333,31.846855766656496,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
172.18.0.2,172.18.0.3,38540,80,6,2026-06-04 00:36:18,418.0,2531100.478468899,23923.444976076553,14354.066985645932,9569.377990430621,6,4,492,566,154,66,82.0,32.331615074619044,360,66,141.5,126.1933041012874,360,66,105.8,88.58193946849435,7846.7599999999975,120,80,20,1,46.44444444444444,112.0,11.0,36.848371322703024,418.0,118.0,26.0,83.6,37.425125250291416,394.0,190.0,52.0,131.33333333333334,58.20271089524572,1,1,0,0,2,2,0,2,9,0,0,0.6666666666666666,105.8,64240,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,141.5,0,6,4,492,566
